CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,PRIM_CONTRIBUTORY_CAUSE,NUM_UNITS,CRASH_MONTH,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE
05/19/2026 11:15:00 PM,45,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,IMPROPER TURNING/NO SIGNAL,2,5,NO INDICATION OF INJURY,0,0,23,3,41.7818512959,-87.575474638
05/20/2026 07:51:00 AM,30,CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,FAILING TO YIELD RIGHT-OF-WAY,2,5,NONINCAPACITATING INJURY,2,0,7,4,41.8943490486,-87.6622078233
05/20/2026 02:00:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,1,5,NO INDICATION OF INJURY,0,0,2,4,41.7590854759,-87.5674478495
05/20/2026 07:50:00 AM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,5,NO INDICATION OF INJURY,0,0,7,4,41.7933705543,-87.6841753768
07/02/2026 10:12:00 AM,15,CLEAR,DAYLIGHT,ANGLE,ALLEY,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,7,NO INDICATION OF INJURY,0,0,10,5,41.8694176493,-87.6636039205
05/18/2026 07:45:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,5,NO INDICATION OF INJURY,0,0,7,2,41.6542850037,-87.6035000251
05/19/2026 12:20:00 PM,25,CLEAR,DAYLIGHT,FIXED OBJECT,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,1,5,NO INDICATION OF INJURY,0,0,12,3,41.7734704077,-87.7124591845
05/20/2026 09:28:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,2,5,NO INDICATION OF INJURY,0,0,9,4,41.88053925,-87.6345924635
05/20/2026 10:13:00 AM,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,2,5,NONINCAPACITATING INJURY,1,0,10,4,41.9172923724,-87.7068822377
05/20/2026 06:06:00 AM,25,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,DISTRACTION - FROM INSIDE VEHICLE,3,5,NO INDICATION OF INJURY,0,0,6,4,41.9943813292,-87.7045354828
05/19/2026 06:00:00 PM,30,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,IMPROPER LANE USAGE,2,5,NO INDICATION OF INJURY,0,0,18,3,41.7679440292,-87.5692019713
05/20/2026 09:05:00 AM,25,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,5,NO INDICATION OF INJURY,0,0,9,4,42.0051289067,-87.6750688165
